Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.63087845,,,,,,,,,,,,,,,69.87349701,,,,72.64868164,,75.13604736,,,,,,,,,,81.40783691,,,,,
East Asia & Pacific (excluding high income),EAP,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,63.69446945,63.85950851,65.0514679,66.38844299,67.03752899,68.75820923,69.42568207,70.83397675,71.91036224,72.93437195,73.8549118,75.09319305,79.31362152,80.013237,79.82717133,81.20288849,81.76083374,82.26531219,82.84564972,83.42694855,83.94532013,89.52683258,89.90644836,90.20400238,90.51062012,90.92166901,91.259552,91.59902954,91.92951965,92.22669983,92.63806915,93.75110626,94.01068115,94.31404877,94.49054718,94.23133087,94.40514374,94.50150299,94.95567322,95.15975952,95.32141876,95.48628235,95.58525848,95.96350861,96.27159119,96.29737091,,
Early-demographic dividend,EAR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,48.93144989,49.15468979,49.75984955,50.37120819,50.96118164,51.03834152,51.83272934,52.76974869,53.3884697,54.17229843,54.81010818,55.44052124,56.32580948,57.06465912,57.7493515,58.63788986,59.1237793,60.11907959,60.93209076,61.70769119,62.51811981,63.25254822,63.92736053,66.91123199,67.54734802,68.20599365,68.67009735,69.37828827,70.40991211,71.18106079,70.92756653,70.81285095,72.04563141,72.84750366,73.67620087,75.25946045,75.28125,75.88291931,76.36637115,77.2513504,77.99147797,78.60655212,78.97360992,79.19458008,79.49398041,79.96138763,80.35800171,80.82801056,
East Asia & Pacific,EAS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,65.69100189,65.87666321,66.96806335,68.18392944,68.7624588,70.37612915,70.9697113,72.2486496,73.2317276,74.16797638,75.00071716,76.17424774,79.9597702,80.60751343,80.46115112,81.70510864,82.22357178,82.68984222,83.24620056,83.79772186,84.29003906,89.27748871,89.64008331,89.96095276,90.24881744,90.64380646,90.98892212,91.35196686,91.69667053,92.01265717,92.41628265,93.44074249,93.72557831,94.02799225,94.12464142,93.83103943,94.02285004,94.12432098,94.6579895,94.86949921,95.03397369,95.20587921,95.30793762,95.70822144,96.00154877,96.03774261,,
Europe & Central Asia (excluding high income),ECA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,93.67173767,94.52513885,94.71340942,94.9094696,95.1004715,95.29019165,95.38358307,95.56111908,95.69683838,95.81835938,95.93470001,96.04705048,96.15783691,96.33358002,96.44084167,96.76509094,96.8602066,97.04724884,97.13098145,97.2120285,97.2931366,97.35060883,97.49954987,97.45533752,97.54762268,97.65766907,98.04763031,98.36354065,98.62870789,98.75997925,98.80506134,98.8331604,98.85582733,98.98377991,98.98262787,99.1621933,99.18015289,99.26638031,99.30091858,99.32569122,
Europe & Central Asia,ECS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.72280121,95.85668182,96.01994324,96.14668274,96.29170227,96.40454102,96.49407196,96.58609772,96.76737213,96.86624908,96.94808197,97.1132431,97.14115906,97.24182129,97.3537674,97.41368103,97.74727631,97.88420868,97.9875412,98.05367279,98.096138,98.13864899,98.23153687,98.27937317,98.39640808,98.43328094,98.50482941,98.52377319,98.5410614,
Ecuador,ECU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,83.5526886,,,,,,,,88.29875946,,,,,,,,,,,90.98403168,,,,,,92.0967865,92.3900528,92.24976349,91.85404205,91.5868988,92.06472778,93.29463196,94.22264099,94.45565796,94.35022736,92.82978821,,,93.62609863,94.48358917,93.94812012,
"Egypt, Arab Rep.",EGY,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,38.19675827,,,,,,,,,,44.42398834,,,,,,,,,,55.5870018,,,,,,,,,67.33187103,66.36991119,,,,72.04785156,,73.86559296,72.44249725,,,,71.16825104,,,,,74.5,
Euro area,EMU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.51395035,,,,,,64.6629715,,,,,,,,,,76.57051849,,,,,
