Country Name,Country Code,Education Expenditure,GDP,Literacy Rate,Employment Rate
Small states,SST,4.980705023,3.25918E+11,87.60447675,58.47014193
Solomon Islands,SLB,7.47837019,1851990339,78.18294077,84.28612427
Somalia,SOM,0.270661741,11736992009,41.16939151,27.74134689
South Africa,ZAF,6.604000092,4.22918E+11,90.59865502,45.0764648
South Asia,SAS,1.97300005,4.63532E+12,74.64843482,52.87375944
South Asia (IDA & IBRD),TSA,1.97300005,4.63532E+12,74.64843482,52.87375944
South Sudan,SSD,1.465559959,12315910870,35.39079142,62.68730086
Spain,ESP,4.550000191,1.71081E+12,98.65230868,52.63512004
Sri Lanka,LKA,1.200000048,86188221192,92.57390247,48.11439073
St. Kitts and Nevis,KNA,3.631000042,1147783290,3.284494161,3.284494161
St. Lucia,LCA,4.197579861,2711289384,3.797005338,59.57838773
St. Martin (French part),MAF,0,649206262.8,0,0
St. Vincent and the Grenadines,VCT,5.464000225,1171334923,97.05322117,55.51407397
Sub-Saharan Africa,SSF,3.378859997,2.15701E+12,68.70177509,63.66643732
Sub-Saharan Africa (IDA & IBRD countries),TSS,3.378859997,2.15701E+12,68.70177509,63.66643732
Sub-Saharan Africa (excluding high income),SSA,3.378859997,2.15474E+12,68.69850596,63.66643732
Sudan,SDN,2.022130013,1.13327E+11,61.4160925,38.86410839
Suriname,SUR,3.805999994,4042880336,95.17213969,51.64125446
Sweden,SWE,6.650000095,6.64643E+11,6.015391415,64.06874429
Switzerland,CHE,5.610000134,9.74755E+11,5.074638521,65.64461317
Syrian Arab Republic,SYR,5.130139828,9813513056,94.67812729,36.53162499
Tajikistan,TJK,5.447000027,13249100404,99.71477868,41.47508177
Tanzania,TZA,3.25999999,83826881525,82.55020871,79.91721559
Thailand,THA,2.612999916,5.39288E+11,94.23945336,67.24690723
Timor-Leste,TLS,2.973999977,2363832589,70.70974914,66.41351961
Togo,TGO,3.798000097,9801429768,67.68671673,57.29630656
Tonga,TON,5.645999908,551375005.7,99.43064467,55.2295783
Trinidad and Tobago,TTO,2.880000114,29606127122,97.95470989,53.9332156
Tunisia,TUN,6.220449924,53990954155,81.64213229,42.41254986
Turkiye,TUR,2.615209818,1.16044E+12,96.81927799,49.44688143
Turkmenistan,TKM,3.779779911,63982521812,99.42051593,47.93612129
Turks and Caicos Islands,TCA,3.285769939,1485398374,2.972209324,2.972209324
Tuvalu,TUV,3.730829954,66483980.16,3.374797317,3.374797317
Uganda,UGA,2.552000046,51547774724,81.03806909,68.68107015
Ukraine,UKR,5.933899879,1.97947E+11,100,51.99205164
United Arab Emirates,ARE,3.895499945,5.39705E+11,98.345826,80.89963259
United Kingdom,GBR,5.400000095,3.66633E+12,4.884678759,61.59909136
United States,USA,5.440000057,3.00537E+13,4.92086153,61.58802806
